Program,Run,core_CPI,atom_CPI,core_L1_hit_rate,core_L2_hit_rate,core_L3_hit_rate,atom_L3_hit_rate
naive,1,0.529397969903294,0.3099283086653402,0.9915107250687374,0.6635460487009306,0.8249162591054129,0.8860161292009665
naive,2,0.5279266457970438,0.9983114845701685,0.9921391181803545,0.6956719693097554,0.6818403760500955,1.0
naive,3,0.5260599166876421,0.37001620456375206,0.9909854533002458,0.6723021813804138,0.8239850339888544,0.849404808637752
naive,4,0.5380449603284166,0.3015379214516036,0.9920860429719829,0.6817553100154117,0.7389930639944662,1.0
naive,5,0.522614009425286,1.437685153835453,0.9907822091427713,0.6640095318805533,0.7657749024408106,1.0
openMP,1,1.1452759738668736,1.0516963022078276,0.9845685377947336,0.6565076203015712,0.8466874968351009,0.9991899206719552
openMP,2,0.9084791474834347,2.8446331716082867,0.9875653186630422,0.6703681495390652,0.8691068670181086,0.9999818655412311
openMP,3,0.9547719261284145,2.437647899371206,0.9836334882062618,0.6948666931227976,0.7368212655934765,0.9994312669883805
openMP,4,0.9386860239607724,2.3113554579359072,0.9900281199180285,0.6705469775497918,0.7731994257724071,0.9996063524091773
openMP,5,0.9318720680189352,2.815248413282925,0.9873485581313053,0.6903109468556466,0.8020704300123872,0.9999554027652183
pthread,1,0.4266159907088281,1.1685983334515262,0.9867312437061473,0.6778528403684256,0.8714095232798278,0.9980135166614503
pthread,2,0.44217328515608434,1.277763581956745,0.9889804318685699,0.6764303276612915,0.7958279882802581,0.9994984939786205
pthread,3,0.4040573194881037,1.2938573194516167,0.989817056040625,0.680617183128794,0.7437470783561403,0.9999742100783856
pthread,4,0.45059359568958535,1.1744190968573252,0.9884372095534262,0.7043057077424926,0.7784727147556806,1.0
pthread,5,0.4426143442839884,1.3180141750398868,0.9906535820532326,0.6616824716218989,0.7935667492049747,1.0
