Program,Run,cpu_atom_branch_misses,cpu_atom_cycles,cpu_atom_instructions,cpu_atom_L1_dcache_load_misses,cpu_atom_L1_dcache_loads,cpu_atom_LLC_load_misses,cpu_atom_LLC_loads,cpu_core_branch_misses,cpu_core_cycles,cpu_core_instructions,cpu_core_L1_dcache_load_misses,cpu_core_L1_dcache_loads,cpu_core_l2_rqsts_miss,cpu_core_l2_rqsts_references,cpu_core_LLC_load_misses,cpu_core_LLC_loads,sys_time,time_elapsed,user_time
naive,1,2264922,1771111034,5714582968,<not,1784161398,108972,956030,1108837,2077678889,3924606831,6898172,812574932,13297470,39522407,275617,1574201,0.019000000,0.456116396,0.437022000
naive,2,11918216,1783572853,1786589537,<not,450990527,0,4123052,1203570,2065420945,3912325626,6605853,840345034,12188652,40051033,438528,1378327,0.030996000,0.470399249,0.433952000
naive,3,2963803,1778194820,4805721474,<not,1477043780,161123,1069908,1260885,2067766505,3930667286,7343817,814662927,12870690,39276093,290261,1649070,0.025996000,0.458024747,0.431944000
naive,4,2747110,1511118265,5011370569,<not,1309977304,0,564905,1241654,2093398049,3890749293,6727247,850048462,12666012,39799602,349025,1337225,0.021003000,0.412122118,0.391067000
naive,5,10066535,1493293664,1038679199,<not,243687391,0,2023381,1138940,2068167574,3957351959,7831705,849629279,13203195,39296338,358207,1529328,0.022987000,0.405916134,0.382796000
openMP,1,884704,1333977963,1268406060,<not,310532784,651,803625,1061899,4459184104,3893545491,12372375,801762972,15032899,43764869,448084,2922684,0.026140000,0.224246471,1.028520000
openMP,2,900412,1572357155,552745138,<not,60841527,11,606580,1220468,3848636157,4236350573,11779734,947328981,15590357,47296270,327678,2503401,0.032941000,0.228414567,1.068116000
openMP,3,812026,1312892826,538590018,<not,75065348,367,645294,1285223,4295142853,4498606144,16417505,1003115704,15055137,49339540,411431,1563314,0.038734000,0.215786142,1.020995000
openMP,4,1233407,1784150385,771906536,<not,105963838,437,1110130,1318711,4244676585,4521934360,9845895,987365965,14100620,42800093,575071,2535580,0.033936000,0.220080094,0.996138000
openMP,5,1200891,2005180223,712256941,<not,83667172,47,1053877,1338675,4290473023,4604143820,12608907,996637943,14479621,46755353,454111,2294306,0.025013000,0.202739006,0.952508000
pthread,1,402234,1602932156,1371670753,<not,172553319,4170,2099187,1131007,1933200740,4531477446,15970170,1203592081,15910480,49388857,351428,2732924,0.043830000,0.232958108,0.539527000
pthread,2,303490,1293661427,1012441930,<not,101051590,834,1662991,1292512,2028308934,4587135863,12491626,1133585804,13410491,41445451,369887,1811644,0.048718000,0.253279241,0.562293000
pthread,3,340367,1583998028,1224244748,<not,116841461,49,1899967,1444642,1936605632,4792898281,12592204,1236597594,13282445,41587851,477463,1863249,0.052987000,0.226443240,0.531874000
pthread,4,379763,1644003013,1399843563,<not,168365441,0,1960094,1414097,2108616814,4679642219,13656468,1181070267,15124114,51147805,393862,1777939,0.038879000,0.237529062,0.548106000
pthread,5,359421,1525423937,1157365350,<not,109925162,0,2079386,1452156,2262845825,5112454791,11825154,1265207063,16006214,47311217,435768,2110939,0.065062000,0.266683323,0.620063000
